Protein1,Protein2
2355,29922
154796,7408
5347,3297
5501,3189
6631,9775
8559,56850
5300,81628
55630,27333
5034,23036
10487,10724
51619,51255
6884,6874
7189,23193
11007,51207
4329,84264
550,55251
4653,3543
5558,7150
6477,5932
23197,79751
5910,57826
27292,6132
3320,10420
10313,6252
23476,1024
1408,3312
23138,23623
132625,6045
4841,79659
7284,139341
9318,3646
79172,64105
4188,7866
1717,293
6122,6137
25824,57532
1739,9229
56254,51322
79768,79768
1738,2109
4343,8237
5733,80125
4223,8675
10073,11218
27153,171483
6813,6844
80279,23376
4691,7307
6045,84248
5042,57418
64949,55720
8548,79843
5469,5469
10014,7037
132141,2052
64375,64375
9136,55272
3183,4691
4695,4707
166,54915
54487,9987
2593,10667
84445,170954
84996,337879
1994,23405
54487,83660
10450,3550
2624,161882
23243,8897
3727,4779
10551,80012
84705,170954
6117,5557
10449,6342
23081,3065
26229,9554
10875,10007
1891,56922
3309,27000
2689,23173
3219,11340
116071,84281
5985,54906
286075,64969
128308,740
118460,51079
9400,9401
55147,23513
57410,144108
1655,9416
79590,54148
1004,28513
11228,5108
9968,9412
175,3043
865,9139
9491,84708
10921,10197
8775,8675
7277,9070
9343,94104
10097,55197
6777,79892
10884,84311
84842,2052
23168,3032
79180,10097
6262,5500
7415,25839
5152,8270
84687,5499
8022,90525
64960,9045
4343,51253
6628,50628
8290,80012
55729,7532
9516,23327
9618,10392
4168,6837
1994,79759
55697,80778
57805,56946
23524,58509
5626,27327
1499,5494
10892,7314
1514,7917
51213,57187
4118,51338
137492,23028
11339,11339
10197,55689
11103,64960
995,7534
7879,57403
3550,58509
22955,8467
25978,115416
30811,1072
83987,23020
1212,2060
10482,6612
6871,10025
10436,6194
4236,7536
7529,55667
51222,8932
51035,8882
6599,9343
513,509
9919,2077
1080,2195
10531,6182
29944,84708
84186,205564
5499,5568
8621,2783
6714,7314
1676,9958
1734,1734
51105,53615
51194,1810
218,84264
1017,3398
166,2801
23450,23517
8407,1938
10987,8528
10482,142
1994,23254
10419,291
9457,57532
84955,8449
5071,3006
207,2100
1857,10482
23013,8559
1786,53615
1660,23405
253980,5425
2734,5966
11060,1605
29896,22794
6117,10949
9113,10413
115752,23517
22832,55559
25930,128866
55630,201931
5774,7535
10813,29911
140691,284086
2060,25977
1021,5127
9513,9908
5140,5567
1021,7157
6137,3396
8089,157570
375791,388336
768,11260
1080,22853
10989,9733
4137,4741
9610,84445
9212,3192
152185,84946
4343,55171
9149,221937
10482,9654
4087,51382
2956,5710
4929,5915
2067,5893
10482,9525
5300,6124
28957,51649
51393,7442
23770,6745
50809,6651
10284,6428
5356,7307
55599,6635
5609,844
23368,26009
10514,6181
10612,65264
56905,1488
8161,64837
348,56172
10521,23517
7415,51366
3741,3739
51371,51371
8735,8569
8736,8736
64377,26002
23524,9775
7014,255426
1021,5626
433,26984
23640,1998
10016,356
2962,5437
5430,29894
4343,5096
57532,375791
3320,4145
57403,259173
5717,55791
54361,7024
10128,60
4188,117144
9682,8350
7157,51741
10285,10921
998,10071
57606,51322
9049,64581
10286,5499
3417,3658
4793,7311
7322,2060
1943,102
7314,7337
51082,64425
6199,3105
1655,5356
6854,6854
6045,55759
64960,9349
338785,644186
5121,163688
10482,23210
26984,51338
23394,6601
414236,414236
5685,81027
28952,8453
4212,56917
10642,50628
7532,8451
11103,51639
996,996
3191,56950
9181,10197
10056,3326
3069,55737
8940,81550
1994,57167
23524,1915
23107,57835
7113,254263
5501,7415
1647,983
63935,79002
130617,9861
54820,51321
1917,9040
7936,58509
8451,6428
841,23774
2638,8029
7415,8220
10657,7409
6464,7534
10946,9343
10285,5356
9218,4720
8451,8467
4438,7411
6198,8667
10569,23398
57418,83858
10542,1915
65008,84545
2002,2005
7874,7874
1642,55626
1173,3849
3169,3219
92399,9802
998,11161
64431,86
2908,3175
9978,3312
840,4110
7529,26115
3185,51649
23512,5034
6045,1314
7284,64969
4087,55599
3621,5931
51755,6924
51035,10075
10482,1514
1460,6749
367,27030
3398,1859
55658,8034
51022,4191
81850,442028
6897,3184
23503,29911
1655,8559
11043,79943
10921,10491
1017,3184
23317,54496
6657,3615
1994,51124
9158,81928
5062,5683
2099,6598
7415,9894
55012,84080
3861,10152
7337,9522
60561,79027
54512,9652
6124,9513
388698,6137
7157,5110
6749,8883
1432,2872
329,84708
80817,147687
9533,83719
55759,55759
23524,1725
6035,6035
1459,54926
4946,4946
2874,2801
84334,23277
4809,6158
24148,10594
6102,9320
10482,120379
6657,27043
6733,25901
51530,30844
84365,64794
51631,84530
27022,642559
2033,430
7879,55823
54726,80279
81876,5910
839,839
11331,57835
9463,147807
83987,51366
3192,84675
5987,25930
10325,64121
1434,3840
79650,27339
9119,23534
7358,983
8453,6632
4723,5160
6418,220929
2130,6386
26043,54014
3801,58500
10203,10266
51021,79590
80221,125988
3054,3320
4670,6745
10482,23399
2063,2063
6733,128434
1024,9477
400569,9862
9919,79869
55832,9349
9577,10128
6134,6132
6789,259230
4938,29911
51021,84844
51259,11180
3007,4670
1994,2296
5130,9025
6134,51642
4221,25942
124583,124583
57474,90933
5025,9917
6733,6014
6137,28998
6631,10498
2977,5136
4591,7314
23398,51639
6622,55031
375,10606
8078,523
5437,6829
7178,84656
7917,710
79848,8139
10642,9045
9463,79797
3265,8036
3927,3956
10771,23020
23759,5356
5987,8559
4005,5152
3191,3191
27068,23607
10856,5984
5728,10813
10036,8678
10490,53407
7157,55197
29761,56897
10087,23251
10362,23199
6453,84193
4665,80125
2071,5436
24144,3192
3192,79084
10426,5682
4830,58497
25898,54507
57332,57332
11338,8559
3178,55691
3550,57418
4087,23557
660,5058
27336,9785
2670,6271
7322,23295
1794,85291
1994,2002
3024,6838
64781,6596
55743,6596
3192,79080
10437,128710
79137,515
9750,5605
27043,51202
4738,7322
55755,10524
10612,81
1460,5210
7110,367
3178,23530
1104,10574
130340,164
6829,10498
57835,6122
171425,2806
1213,409
11157,51690
10342,526
56949,58509
29093,92259
5599,6464
3002,1676
54472,9898
3065,3320
1660,84844
23192,440738
11331,22907
51097,79654
55746,10762
51377,7295
10629,6884
64983,64978
56654,56654
9533,23623
10419,9349
5435,9400
10856,57805
79991,9968
6208,6223
1469,6449
7024,85403
23193,51076
54978,9519
23020,8449
5591,7534
10482,23568
9113,9212
84062,114088
1022,2068
2801,151254
2730,3665
7531,678
5800,7534
23171,7378
326,4436
60401,841
7347,7347
8688,54461
2130,93487
89,8022
10286,84105
635,635
6477,84056
5591,5052
11338,6137
10606,10943
81559,7322
5496,6628
10099,2260
132320,23085
6657,60529
10629,51616
2057,3635
55832,293
5071,2060
164,8943
1050,338
2622,8500
260293,8500
23020,9733
23385,6294
4188,79943
7276,2
11218,23405
3692,5720
7415,5245
6632,7347
6820,115265
6117,55660
286530,7278
3965,10325
27229,5987
10286,6628
5608,6775
3320,50809
10933,60
10519,58506
149461,161003
55832,28957
9463,57159
6119,80004
2100,9282
54662,55759
55145,79169
1602,6495
10856,29110
54033,9802
4343,6829
4924,5742
6921,10513
975,6124
4869,5501
975,2130
1432,4209
64805,90231
23512,4839
5886,84993
9391,80820
10963,51182
5007,2617
1994,142
5701,5693
11052,4927
6102,1454
10987,56254
6304,10401
56888,9688
805,84223
1448,9802
9618,10262
29934,10327
10528,26354
22919,11021
23197,10055
3178,124540
8453,23318
259287,865
51631,6727
22794,84305
3550,8220
56902,8897
54811,23532
1017,9113
10163,10096
8850,142
3065,8360
1147,8717
1051,1387
63827,151195
64581,400258
6709,6714
218,8468
55250,80227
7295,29946
10048,2908
4738,6194
25828,92610
29086,10367
10131,51639
8725,55929
5886,5707
4711,64949
56934,130916
6923,6924
8260,54457
2792,84656
10521,23524
140801,6138
10048,54514
6134,6124
10746,2521
5058,6790
7189,55905
10987,6631
10761,26122
727,730
166,147807
4343,9667
26058,6631
3735,5594
10987,8570
65264,9666
23417,84693
5594,7157
6158,7323
55703,5430
5601,92346
85438,6399
22919,1448
6453,55052
208,9545
5595,1645
3725,2961
254187,283229
10208,8161
11047,81027
10987,6134
132320,29110
1058,1642
1827,5567
6634,1787
6138,6228
22907,83858
128308,51263
6504,57508
26993,2010
3184,4216
286077,94101
3178,11222
1017,9520
51011,388962
5050,91782
4670,6636
4726,4738
10987,9097
5911,2512
79590,84545
1756,93664
7158,11335
3761,6640
2936,5052
3993,27109
55299,6160
24140,8291
6809,6809
56257,10521
4343,10328
2130,8548
9101,8349
2130,51510
5451,2099
9119,142685
4343,6834
10921,54994
5296,1654
9138,3265
314,8288
79600,2617
23309,9203
5878,523
367,841
894,5925
23020,23020
23468,9422
5201,1974
6689,6741
5071,2521
49856,93436
9086,9669
5252,159195
27043,9045
444,5154
11266,7376
7415,79058
11065,27434
23197,5824
3185,8504
10010,5917
4738,1654
2130,79723
2877,5690
79016,50717
10482,10426
1655,8220
4738,6921
9031,6603
24148,8559
56654,81850
7329,8086
9702,24144
4702,818
3326,6449
1655,23398
6733,9648
23291,3791
8688,440184
652968,652968
4477,6449
2071,4168
4824,7089
6647,92483
6181,7150
4852,4889
7353,3507
9463,56904
26156,9349
84461,80184
1408,5704
25885,57418
57035,80011
23476,3948
7175,4928
1915,2618
7531,3983
10262,3187
8522,25804
55968,6727
7132,9093
5718,5718
1432,5371
7321,27343
8270,5869
1345,6821
145258,4087
10865,23371
3007,7150
11315,204851
142,10038
6257,7415
54165,3320
9759,55201
9240,84708
4343,51138
200186,23235
3956,50628
9135,157570
9817,5970
207,3170
841,8878
1017,6119
5720,84993
10263,1104
23645,5500
10105,10469
23251,51550
8139,83732
11179,29089
5905,51585
1917,9343
83858,117246
55159,5202
79187,80303
10529,10615
1994,9585
10919,29119
5713,5718
25804,58509
9984,7402
8480,10460
57103,7249
29937,6748
1514,6667
55854,10061
11338,9716
9533,29925
5682,5833
23172,57215
10884,51021
1460,3932
51202,57418
10142,7257
655,657
1660,6709
5733,285598
10482,5119
4103,140691
55048,158787
51019,51631
4292,5887
81631,8019
1017,6897
9026,9138
1021,4000
11140,64425
7534,572
55290,22820
23759,79002
4843,6742
79016,6897
5701,6184
51258,51642
3587,7297
1994,23516
1810,11091
6134,6667
5601,9031
6628,83443
23524,6625
7203,9533
79074,3184
11083,6651
4809,1736
2878,34
9400,4683
293,6748
2099,5976
3964,4162
10554,126129
9559,10807
9830,124790
6134,51388
1642,6612
27161,1373
10524,4683
29116,81628
55201,283349
1024,51608
7314,8878
2100,9325
3308,3337
51588,9669
1314,6124
1595,3265
27161,5976
51514,7534
2580,4646
51259,6520
23524,9416
8139,3185
85294,136051
1470,10513
26229,7095
3646,5058
51193,57621
5594,8600
1660,2521
3178,28998
26003,10959
79068,9520
1994,9261
6217,8451
9132,3320
6117,22913
8290,8290
27430,7358
10933,86
3725,4741
3191,6158
59271,55624
10294,476
8554,55576
9129,56259
4627,57584
10413,79892
7274,23647
11043,339834
51253,7385
55631,84245
51069,740
4343,5868
5296,23166
4691,64949
6636,84967
412,7363
22826,4809
5089,114327
375791,440836
3008,8360
6716,7363
2339,5911
29890,8237
6045,8402
124995,64965
9025,57658
5626,23371
6386,116173
3735,6132
7251,8887
5970,51043
7536,79002
7311,8717
5705,5690
22870,9100
54443,1173
6573,7021
79665,8775
571,571
26532,5062
8675,526
9439,1387
8764,84942
4113,6158
6790,8239
4666,3725
4670,9129
8419,57658
10933,114932
3763,3765
1121,51552
3621,7157
5530,6257
51593,6431
3551,23328
25885,9349
6628,7702
10921,81550
60673,2309
57038,127829
525,25978
5594,6640
4343,9343
207,23327
79709,5351
2961,2961
10513,367
26523,8890
1122,5868
10421,9343
29088,55168
10036,7529
135138,3308
64324,2063
4300,55791
29116,7334
9218,5245
571,4292
1994,55892
222,1047
6789,9218
54764,94121
7013,28988
10130,54800
5713,7277
11047,9861
79654,10892
4869,24148
55771,1736
55832,23404
7013,5496
9533,79027
23168,11198
4594,4594
55715,23382
10284,3646
116540,23204
831,836
4793,805
886,887
5063,5347
1153,4849
1856,8878
51138,23557
1994,5264
10399,3184
207,3551
3065,3297
10987,23403
23291,10413
57187,79882
4055,9217
841,8717
5515,84634
50855,50855
125115,254187
7874,23405
11168,10284
10419,84844
84304,115265
26973,2288
5562,5717
28976,5052
1654,5356
1478,54760
134285,1434
6477,79188
396,637
10856,7874
23607,79184
11335,1108
2965,55729
768,1434
28981,56912
4000,10949
166,6733
1432,1852
7189,1654
54951,150684
9391,9688
5970,64425
148581,10193
3101,5236
5052,51
9588,523
84656,84661
6871,3185
10514,1994
90933,115950
51538,23210
2064,6451
50628,51021
5698,5718
6119,9181
25895,3326
9731,23085
55720,6612
4711,7381
5657,820
8942,6449
5595,8189
23512,92609
8239,9296
50628,6138
130,218
372,28987
5307,83451
4223,118471
85403,53340
219541,22936
83547,23339
6780,1314
55040,996
64960,65993
5685,54512
1131,3002
8991,51003
28976,35
10521,27339
3480,10399
22818,9675
6386,56344
5500,5567
4316,63827
10188,4058
83987,94081
10075,5685
1399,2051
1017,388698
3480,8314
1522,11043
7704,29116
79447,9070
51259,6734
23450,29896
9775,11168
86,2130
6272,221496
3035,8554
10228,6844
28988,5610
3838,4528
1994,3185
4830,983
6285,10397
5976,1797
6657,4236
11016,5599
65265,5297
54443,1211
6790,8290
5708,5887
30001,23640
79954,134430
3417,204
5987,55324
1499,6632
6714,9325
5594,1978
9694,10328
2248,2260
1974,55697
28998,64432
3192,10360
53615,6603
10075,3326
84445,8449
80108,90933
112609,56246
6657,7341
10482,80011
8424,10010
54534,11222
1454,5664
5199,8468
22908,1315
1994,55670
54960,6635
